City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
511,Salinas,US,79.99,scattered clouds,36.6777,-121.6555,Laurel Inn & Conference Center
512,Carmaux,FR,73.67,clear sky,44.051,2.158,Café Hôtel Le Gambetta
516,Manadhoo,MV,79.12,moderate rain,5.7667,73.3833,Bon Abri maldives
517,Calarasi,MD,71.31,broken clouds,47.2544,28.3081,Hotel-Diana's
521,Kattivakkam,IN,84.07,broken clouds,13.2167,80.3167,Euronova Freezer
523,Tiznit,MA,88.66,clear sky,29.5833,-9.5,
524,Mayor Pablo Lagerenza,PY,74.34,clear sky,-19.9309,-60.7718,
525,Curuca,BR,76.15,moderate rain,-0.7289,-47.8481,Hotel Curuça
527,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Pirineos
528,Lodwar,KE,81.39,few clouds,3.1191,35.5973,Solmar Gracious Hotel
529,Bingol,TR,73.0,clear sky,38.8847,40.4939,Vali Konağı
530,Sarankhola,BD,80.28,overcast clouds,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
531,Puerto Narino,CO,81.73,broken clouds,-3.7703,-70.3831,Eware Refugio Amazonico
534,Berea,US,81.39,clear sky,41.3662,-81.8543,Comfort Inn Cleveland Airport
537,Goundam,ML,90.0,few clouds,16.4145,-3.6708,
541,Kyabe,TD,72.1,broken clouds,9.4515,18.9449,
545,Opatija,HR,72.18,clear sky,45.3392,14.3083,Hotel Opatija
546,Andros Town,BS,87.76,clear sky,24.7,-77.7667,Hanks place
547,Conakry,GN,78.22,scattered clouds,9.538,-13.6773,Riviera Royal Hotel
550,Santa Maria Da Vitoria,BR,78.26,few clouds,-13.3947,-44.1886,Pousada Rio Current
551,Barreirinhas,BR,78.82,broken clouds,-2.7469,-42.8264,Gran Lençóis Flat Residence
553,Bolpur,IN,86.02,overcast clouds,23.6667,87.7167,Hotel Royal Bengal
560,Umm Lajj,SA,88.2,broken clouds,25.0213,37.2685,Moon light Furnished Units
562,Westport,US,88.09,few clouds,41.1415,-73.3579,The Westport Inn
564,Janakpur,NP,79.77,overcast clouds,26.7183,85.9065,Hotel Sita Palace
566,Surovikino,RU,73.85,broken clouds,48.6078,42.8486,Kvartira Pod Klyuch Surovikino
568,Cap-Aux-Meules,CA,73.45,scattered clouds,47.3821,-61.8597,Auberge Madeli
570,Ilebo,CD,73.89,few clouds,-4.3167,20.5833,Hôtel BUMAK
572,Jeremie,HT,84.49,few clouds,18.65,-74.1167,Auberge’Inn
575,Monforte De Lemos,ES,73.56,clear sky,42.5216,-7.5142,Hotel Cardenal
579,Rosetta,EG,78.49,clear sky,31.4044,30.4164,Green Valley
580,Uniao,BR,77.74,moderate rain,-4.5858,-42.8642,Pousada União
583,Bongandanga,CD,72.3,overcast clouds,1.5,21.05,
586,Nisia Floresta,BR,79.18,overcast clouds,-6.0911,-35.2086,Rancho Crepusculo
588,Harper,LR,74.55,few clouds,4.375,-7.7169,Screensaver
589,Puerto Gaitan,CO,82.56,broken clouds,4.3133,-72.0816,Brisas del Yucao
591,Tahoua,NE,78.31,overcast clouds,14.8888,5.2692,Bungalows Guesthouse
592,Waddan,LY,82.89,clear sky,29.1614,16.139,محل الشريف محمد العايب
